customer_id,join_date,region,segment,total_orders
CUST00001,2023-04-25,West,Premium,7.0
CUST00002,2023-03-25,East,Premium,2.0
CUST00003,2023-05-21,East,Regular,7.0
CUST00004,2023-07-09,West,Regular,5.0
CUST00005,2024-04-27,East,Regular,5.0
CUST00006,2024-04-14,West,Regular,2.0
CUST00007,2024-03-11,West,Regular,5.0
CUST00008,2025-11-03,East,Premium,3.0
CUST00009,2023-06-17,West,Regular,5.0
CUST00010,2024-09-24,South,Premium,6.0
CUST00011,2024-02-20,North,Premium,5.0
CUST00012,2025-03-23,West,Premium,5.0
CUST00013,2025-05-10,South,Premium,6.0
CUST00014,2023-11-02,East,Regular,4.0
CUST00015,2023-03-11,East,Premium,4.0
CUST00016,2023-11-04,West,Regular,6.0
CUST00017,2025-08-12,North,Premium,3.0
CUST00018,2025-08-26,North,Premium,7.0
CUST00019,2025-12-08,North,Regular,8.0
CUST00020,2023-05-02,West,Regular,9.0
CUST00021,2023-07-19,South,Premium,7.0
CUST00022,2025-09-26,South,Regular,3.0
CUST00023,2025-01-09,West,Premium,4.0
CUST00024,2025-01-20,East,Regular,7.0
CUST00025,2025-09-10,North,Premium,6.0
CUST00026,2023-03-25,West,Regular,6.0
CUST00027,2024-10-12,North,Premium,4.0
CUST00028,2025-01-18,West,Premium,8.0
CUST00029,2025-08-26,East,Regular,2.0
CUST00030,2024-05-03,South,Premium,3.0
CUST00031,2024-05-31,South,Premium,6.0
CUST00032,2025-07-07,South,Regular,8.0
CUST00033,2024-02-06,South,Regular,5.0
CUST00034,2024-12-27,South,Premium,6.0
CUST00035,2025-12-05,East,Premium,5.0
CUST00036,2023-04-27,East,Regular,2.0
CUST00037,2024-10-11,East,Premium,7.0
CUST00038,2025-05-11,South,Premium,3.0
CUST00039,2024-11-16,North,Regular,4.0
CUST00040,2023-04-29,North,Regular,3.0
CUST00041,2025-01-08,East,Premium,3.0
CUST00042,2023-04-07,North,Regular,3.0
CUST00043,2025-02-08,South,Regular,11.0
CUST00044,2025-04-17,West,Premium,8.0
CUST00045,2025-11-22,West,Regular,10.0
CUST00046,2025-05-12,East,Premium,4.0
CUST00047,2023-04-06,East,Regular,1.0
CUST00048,2023-05-16,East,Regular,6.0
CUST00049,2023-08-02,North,Regular,4.0
CUST00050,2025-03-15,South,Premium,3.0
CUST00051,2023-08-22,South,Premium,6.0
