product_id,store_id,stock_level,reorder_point
PROD0001,STORE001,209,70
PROD0001,STORE002,247,55
PROD0001,STORE003,108,92
PROD0001,STORE004,258,92
PROD0001,STORE005,492,68
PROD0001,STORE006,113,87
PROD0001,STORE007,456,72
PROD0001,STORE008,484,74
PROD0001,STORE009,448,56
PROD0001,STORE010,417,65
PROD0001,STORE011,420,47
PROD0001,STORE012,414,93
PROD0001,STORE013,34,46
PROD0001,STORE014,89,75
PROD0001,STORE015,144,32
PROD0001,STORE016,460,96
PROD0001,STORE017,399,87
PROD0001,STORE018,50,93
PROD0001,STORE019,436,30
PROD0001,STORE020,238,100
PROD0002,STORE001,219,38
PROD0002,STORE002,451,85
PROD0002,STORE003,326,38
PROD0002,STORE004,243,71
PROD0002,STORE005,171,63
PROD0002,STORE006,306,62
PROD0002,STORE007,425,63
PROD0002,STORE008,232,72
PROD0002,STORE009,155,86
PROD0002,STORE010,1,50
PROD0002,STORE011,73,30
PROD0002,STORE012,320,53
PROD0002,STORE013,236,82
PROD0002,STORE014,93,63
PROD0002,STORE015,76,36
PROD0002,STORE016,35,86
PROD0002,STORE017,298,78
PROD0002,STORE018,364,32
PROD0002,STORE019,105,65
PROD0002,STORE020,144,87
PROD0003,STORE001,17,81
PROD0003,STORE002,353,98
PROD0003,STORE003,178,75
PROD0003,STORE004,69,92
PROD0003,STORE005,60,67
PROD0003,STORE006,132,89
PROD0003,STORE007,142,40
PROD0003,STORE008,206,70
PROD0003,STORE009,475,46
PROD0003,STORE010,249,32
PROD0003,STORE011,445,90
PROD0003,STORE012,315,42
PROD0003,STORE013,283,74
PROD0003,STORE014,244,77
PROD0003,STORE015,465,36
PROD0003,STORE016,80,71
PROD0003,STORE017,212,53
PROD0003,STORE018,138,78
PROD0003,STORE019,411,54
PROD0003,STORE020,464,89
PROD0004,STORE001,413,74
PROD0004,STORE002,455,54
PROD0004,STORE003,417,45
PROD0004,STORE004,6,32
PROD0004,STORE005,449,74
PROD0004,STORE006,45,87
PROD0004,STORE007,14,92
PROD0004,STORE008,390,61
PROD0004,STORE009,85,80
PROD0004,STORE010,285,77
PROD0004,STORE011,456,48
PROD0004,STORE012,485,65
PROD0004,STORE013,249,32
PROD0004,STORE014,279,56
PROD0004,STORE015,58,87
PROD0004,STORE016,348,69
PROD0004,STORE017,359,91
PROD0004,STORE018,202,76
PROD0004,STORE019,268,93
PROD0004,STORE020,31,92
PROD0005,STORE001,68,99
PROD0005,STORE002,241,52
PROD0005,STORE003,298,89
PROD0005,STORE004,30,44
PROD0005,STORE005,248,96
PROD0005,STORE006,52,98
PROD0005,STORE007,179,37
PROD0005,STORE008,88,50
PROD0005,STORE009,325,65
PROD0005,STORE010,303,86
PROD0005,STORE011,383,52
PROD0005,STORE012,107,99
PROD0005,STORE013,306,51
PROD0005,STORE014,298,50
PROD0005,STORE015,114,65
PROD0005,STORE016,249,56
PROD0005,STORE017,89,71
PROD0005,STORE018,183,92
PROD0005,STORE019,395,63
PROD0005,STORE020,231,34
PROD0006,STORE001,387,64
PROD0006,STORE002,82,64
PROD0006,STORE003,485,67
PROD0006,STORE004,107,31
PROD0006,STORE005,313,97
PROD0006,STORE006,244,58
PROD0006,STORE007,319,90
PROD0006,STORE008,342,87
PROD0006,STORE009,285,64
PROD0006,STORE010,177,45
PROD0006,STORE011,259,74
PROD0006,STORE012,415,79
PROD0006,STORE013,71,45
PROD0006,STORE014,337,85
PROD0006,STORE015,199,60
PROD0006,STORE016,6,73
PROD0006,STORE017,442,69
PROD0006,STORE018,340,82
PROD0006,STORE019,359,53
PROD0006,STORE020,104,38
PROD0007,STORE001,182,31
PROD0007,STORE002,93,79
PROD0007,STORE003,472,51
PROD0007,STORE004,155,40
PROD0007,STORE005,49,94
PROD0007,STORE006,302,56
PROD0007,STORE007,185,44
PROD0007,STORE008,394,78
PROD0007,STORE009,387,83
PROD0007,STORE010,499,100
PROD0007,STORE011,21,53
PROD0007,STORE012,81,68
PROD0007,STORE013,199,79
PROD0007,STORE014,336,82
PROD0007,STORE015,350,54
PROD0007,STORE016,46,58
PROD0007,STORE017,331,61
PROD0007,STORE018,420,96
PROD0007,STORE019,425,100
PROD0007,STORE020,411,54
PROD0008,STORE001,491,31
PROD0008,STORE002,236,99
PROD0008,STORE003,65,65
PROD0008,STORE004,281,56
PROD0008,STORE005,446,54
PROD0008,STORE006,130,46
PROD0008,STORE007,225,58
PROD0008,STORE008,285,76
PROD0008,STORE009,307,52
PROD0008,STORE010,195,62
PROD0008,STORE011,319,84
PROD0008,STORE012,275,77
PROD0008,STORE013,366,94
PROD0008,STORE014,325,63
PROD0008,STORE015,372,72
PROD0008,STORE016,481,70
PROD0008,STORE017,234,35
PROD0008,STORE018,315,92
PROD0008,STORE019,487,76
PROD0008,STORE020,495,45
PROD0009,STORE001,251,96
PROD0009,STORE002,85,45
PROD0009,STORE003,189,86
PROD0009,STORE004,348,34
PROD0009,STORE005,281,59
PROD0009,STORE006,4,70
PROD0009,STORE007,171,75
PROD0009,STORE008,323,35
PROD0009,STORE009,53,46
PROD0009,STORE010,209,83
PROD0009,STORE011,311,55
PROD0009,STORE012,137,91
PROD0009,STORE013,55,77
PROD0009,STORE014,461,65
PROD0009,STORE015,299,85
PROD0009,STORE016,255,51
PROD0009,STORE017,375,91
PROD0009,STORE018,480,60
PROD0009,STORE019,49,70
PROD0009,STORE020,123,40
PROD0010,STORE001,223,96
PROD0010,STORE002,181,99
PROD0010,STORE003,253,37
PROD0010,STORE004,240,39
PROD0010,STORE005,70,30
PROD0010,STORE006,365,31
PROD0010,STORE007,458,99
PROD0010,STORE008,266,36
