order_id,product_id,quantity,revenue
ORD000001,PROD0045,1,413.62
ORD000001,PROD0048,3,1330.23
ORD000001,PROD0005,5,2164.75
ORD000002,PROD0089,2,194.5
ORD000002,PROD0049,5,1837.0
ORD000002,PROD0016,4,460.84
ORD000002,PROD0018,2,640.76
ORD000003,PROD0084,2,702.58
ORD000003,PROD0064,1,355.56
ORD000003,PROD0010,5,490.0
ORD000003,PROD0013,5,467.6
ORD000004,PROD0072,1,358.2
ORD000004,PROD0102,4,418.52
ORD000005,PROD0066,4,1862.72
ORD000005,PROD0072,3,1074.6
ORD000005,PROD0106,3,171.18
ORD000006,PROD0034,3,33.63
ORD000006,PROD0026,2,905.1
ORD000007,PROD0115,4,834.12
ORD000007,PROD0038,4,754.08
ORD000008,PROD0011,5,923.8
ORD000009,PROD0090,3,953.31
ORD000010,PROD0100,5,1949.9
ORD000010,PROD0099,1,359.64
ORD000011,PROD0092,3,889.29
ORD000011,PROD0099,2,719.28
ORD000012,PROD0090,4,1271.08
ORD000012,PROD0035,5,1448.85
ORD000012,PROD0016,4,460.84
ORD000012,PROD0063,3,883.95
ORD000013,PROD0120,1,428.01
ORD000013,PROD0063,1,294.65
ORD000014,PROD0026,5,2262.75
ORD000015,PROD0043,2,236.86
ORD000015,PROD0108,1,223.92
ORD000015,PROD0047,2,514.06
ORD000016,PROD0041,2,956.56
ORD000017,PROD0039,5,1903.8
ORD000017,PROD0023,2,916.08
ORD000017,PROD0016,1,115.21
ORD000018,PROD0092,4,1185.72
ORD000018,PROD0050,1,58.98
ORD000018,PROD0007,5,746.15
ORD000018,PROD0060,3,1097.88
ORD000019,PROD0110,2,726.14
ORD000019,PROD0047,2,514.06
ORD000020,PROD0114,5,2379.25
ORD000021,PROD0011,5,923.8
ORD000022,PROD0046,1,257.17
ORD000022,PROD0065,3,1371.48
ORD000022,PROD0053,3,742.62
ORD000022,PROD0029,2,206.92
ORD000023,PROD0056,1,404.51
ORD000024,PROD0049,5,1837.0
ORD000025,PROD0113,2,976.72
ORD000026,PROD0062,3,1435.26
ORD000026,PROD0084,1,351.29
ORD000026,PROD0013,1,93.52
ORD000027,PROD0037,3,340.14
ORD000027,PROD0036,4,740.08
ORD000027,PROD0115,4,834.12
ORD000027,PROD0074,4,1037.12
ORD000028,PROD0109,3,1095.21
ORD000029,PROD0031,3,117.66
ORD000029,PROD0109,5,1825.35
ORD000029,PROD0117,4,52.28
ORD000030,PROD0042,1,22.88
ORD000030,PROD0105,3,223.38
ORD000030,PROD0026,5,2262.75
ORD000031,PROD0002,4,1034.48
