order_id,customer_id,store_id,order_date
ORD000001,CUST00296,STORE014,2025-12-09
ORD000002,CUST00143,STORE012,2025-10-09
ORD000003,CUST00563,STORE002,2025-08-18
ORD000004,CUST00559,STORE004,2024-05-20
ORD000005,CUST00794,STORE018,2024-08-30
ORD000006,CUST00368,STORE007,2025-06-02
ORD000007,CUST00569,STORE003,2025-09-06
ORD000008,CUST00539,STORE011,2025-12-16
ORD000009,CUST00448,STORE013,2024-09-30
ORD000010,CUST00029,STORE016,2025-02-21
ORD000011,CUST00002,STORE008,2025-06-15
ORD000012,CUST00136,STORE016,2025-06-15
ORD000013,CUST00310,STORE013,2025-10-31
ORD000014,CUST00953,STORE014,2025-05-24
ORD000015,CUST00668,STORE018,2024-12-28
ORD000016,CUST00910,STORE002,2024-12-08
ORD000017,CUST00983,STORE005,2025-11-14
ORD000018,CUST00446,STORE017,2024-09-25
ORD000019,CUST00824,STORE006,2025-11-10
ORD000020,CUST00607,STORE006,2024-10-27
ORD000021,CUST00034,STORE009,2025-12-05
ORD000022,CUST00181,STORE008,2025-08-04
ORD000023,CUST00495,STORE017,2024-09-11
ORD000024,CUST00414,STORE004,2025-11-22
ORD000025,CUST00518,STORE011,2025-06-19
ORD000026,CUST00225,STORE004,2025-10-28
ORD000027,CUST00596,STORE020,2024-03-19
ORD000028,CUST00204,STORE017,2025-01-16
ORD000029,CUST00827,STORE018,2024-06-26
ORD000030,CUST00832,STORE012,2024-12-25
ORD000031,CUST00515,STORE017,2025-12-02
ORD000032,CUST00003,STORE020,2024-09-17
ORD000033,CUST00524,STORE018,2026-01-03
ORD000034,CUST00921,STORE010,2025-03-02
ORD000035,CUST00487,STORE006,2025-05-14
ORD000036,CUST00328,STORE011,2025-01-28
ORD000037,CUST00735,STORE017,2024-03-24
ORD000038,CUST00851,STORE011,2024-11-11
ORD000039,CUST00659,STORE017,2024-05-10
ORD000040,CUST00324,STORE009,2024-08-17
ORD000041,CUST00554,STORE019,2024-04-14
ORD000042,CUST00246,STORE012,2025-04-01
ORD000043,CUST00994,STORE016,2024-03-18
ORD000044,CUST00901,STORE016,2024-09-28
ORD000045,CUST00781,STORE005,2024-09-13
ORD000046,CUST00048,STORE017,2024-06-06
ORD000047,CUST00848,STORE008,2026-01-11
ORD000048,CUST00370,STORE019,2024-07-30
ORD000049,CUST00662,STORE001,2024-04-25
ORD000050,CUST00060,STORE002,2024-03-20
ORD000051,CUST00547,STORE012,2026-01-19
ORD000052,CUST00551,STORE013,2024-11-27
ORD000053,CUST00407,STORE017,2025-12-11
ORD000054,CUST00589,STORE013,2025-02-13
ORD000055,CUST00342,STORE007,2025-02-01
ORD000056,CUST00728,STORE006,2025-06-05
ORD000057,CUST00096,STORE018,2025-03-19
ORD000058,CUST00766,STORE005,2024-04-07
ORD000059,CUST00421,STORE008,2024-06-27
ORD000060,CUST00831,STORE019,2024-12-24
ORD000061,CUST00391,STORE001,2025-02-26
ORD000062,CUST00224,STORE004,2024-07-20
ORD000063,CUST00727,STORE016,2025-12-25
ORD000064,CUST00652,STORE003,2025-04-08
ORD000065,CUST00066,STORE008,2025-01-09
ORD000066,CUST00401,STORE019,2024-06-09
ORD000067,CUST00078,STORE009,2026-01-30
ORD000068,CUST00289,STORE019,2025-01-23
ORD000069,CUST00316,STORE017,2024-06-24
ORD000070,CUST00800,STORE012,2025-03-31
ORD000071,CUST00663,STORE015,2025-09-05
ORD000072,CUST00435,STORE020,2025-03-14
ORD000073,CUST00237,STORE015,2025-08-29
ORD000074,CUST00405,STORE004,2026-02-11
ORD000075,CUST00538,STORE019,2024-11-10
ORD000076,CUST00158,STORE009,2024-05-16
ORD000077,CUST00553,STORE002,2025-12-21
ORD000078,CUST00781,STORE015,2024-10-13
ORD000079,CUST00259,STORE001,2024-08-16
ORD000080,CUST00702,STORE002,2026-01-04
ORD000081,CUST00276,STORE004,2024-08-12
ORD000082,CUST00370,STORE020,2025-10-14
ORD000083,CUST00041,STORE016,2024-11-23
ORD000084,CUST00773,STORE014,2024-08-31
